;tid;sent;pol
0;1451009711285936132;positive;believe
1;1031161361940865024;neutral;believe
2;1423684526937546754;negative;believe
3;1032361023850799104;negative;believe
4;1430734246566502406;negative;believe
5;1442386492500807684;neutral;deny
6;973620586676129792;positive;believe
7;1452379152800264204;negative;believe
8;1460615200856580104;positive;believe
9;1458615130439110659;negative;deny
10;1029660065865850881;positive;believe
11;522223699412267008;positive;believe
12;1424772862439743494;negative;deny
13;1035334838100873227;positive;believe
14;1423217475013988352;positive;believe
15;1440153599384821765;neutral;believe
16;1030140994069520385;neutral;believe
17;1068726487644291073;positive;believe
18;1451142043783286787;neutral;believe
19;1446133113357094912;positive;believe
20;1453086309610840073;positive;deny
21;1032974131455840256;negative;believe
22;871818944935452672;negative;believe
23;1431317744344092679;negative;believe
24;1068522532427329539;positive;believe
25;1484199995893071883;negative;deny
26;1424758190793707534;negative;believe
27;1458868927279284230;negative;believe
28;987761961793290240;positive;believe
29;943379583679606784;positive;believe
30;1461080395068456962;positive;believe
31;1454732363737542660;neutral;believe
32;1449759678313996288;negative;deny
33;1459437370684719105;positive;believe
34;954242309343789056;positive;believe
35;954062874992873472;positive;believe
36;1455169367755444236;neutral;believe
37;986257356156792832;positive;believe
38;1442572940877381632;positive;believe
39;780789067051048960;neutral;believe
40;1460942825294417928;positive;believe
41;1456659618197692416;neutral;believe
42;1428684112374685705;negative;believe
43;1434297292207632386;negative;deny
44;1119599166177648640;negative;believe
45;1460922505439420423;neutral;believe
46;1429499291748474888;negative;believe
47;983273019882786816;positive;believe
48;675815376207392768;positive;deny
49;1424058769537961990;negative;believe
50;1068611094858657797;negative;believe
51;1438185469745852418;neutral;deny
52;1068992354512658433;positive;believe
53;1438973263485489157;negative;believe
54;1453660628376330240;neutral;believe
55;1424768164664066051;positive;deny
56;1069696446968938496;neutral;believe
57;1033668348788264960;positive;believe
58;1459992410252009477;positive;believe
59;906873936520126464;negative;believe
60;1034188114749575168;negative;believe
61;1492508917129265160;negative;deny
62;989228262281830400;neutral;believe
63;1505719541980086274;negative;deny
64;991422132172161024;neutral;believe
65;1424434585870422025;negative;deny
66;1445139293664653316;negative;believe
67;1442550353099214850;negative;deny
68;1457456324048916480;neutral;believe
69;985291373426311168;neutral;believe
70;823984417312043008;neutral;believe
71;1424776015142866945;neutral;believe
72;985856931062480896;neutral;believe
73;1461377409790402560;positive;believe
74;984691426289176577;negative;deny
75;1432314580068413446;negative;deny
76;1435404019317583873;negative;deny
77;1432417865848795137;positive;believe
78;1440111455123083266;negative;believe
79;1457109490520649728;positive;believe
80;1034714544222789632;positive;believe
81;1118976757137313792;neutral;believe
82;1428931284198432771;neutral;believe
83;982260998626148352;neutral;believe
84;1422949457918836745;negative;believe
85;1457091907775909894;positive;believe
86;1457112840968425474;positive;believe
87;781584856702652416;negative;believe
88;1455267651069038596;positive;believe
89;1438178191298990087;negative;believe
90;1459130358625091614;negative;believe
91;1069171486022410240;negative;believe
92;1443905032718532610;neutral;believe
93;1068466803276427264;positive;believe
94;1441101704779354130;neutral;deny
95;801106766603894784;positive;believe
96;1426209102921932808;negative;believe
97;1069785474133180416;negative;believe
98;1459320759097176068;neutral;believe
99;936456966066413568;positive;believe
100;1069930500024926208;positive;believe
101;1460371451563823104;negative;believe
102;824979065081888768;positive;believe
103;951251608465125377;negative;believe
104;1424835699308650497;negative;deny
105;1435843163067977728;neutral;believe
106;1445685636988432391;neutral;believe
107;1461720196629110786;positive;believe
108;952350851422601216;positive;believe
109;1452625518143082503;negative;deny
110;922006275013033984;positive;believe
111;1501190133428670467;negative;deny
112;988274123880087552;positive;believe
113;1456708682025213954;neutral;believe
114;1441367995972874255;positive;believe
115;971498632296914944;negative;believe
116;1452382847730286592;negative;believe
117;1456252743417569287;negative;deny
118;947464968605130752;positive;believe
119;1035638298192928768;positive;believe
120;1454158293702778885;positive;believe
121;1454477486314590209;neutral;believe
122;940446920215891968;positive;believe
123;1458568395205627910;neutral;believe
124;1462170184790253579;negative;deny
125;1440964162121715714;positive;deny
126;906688977645817856;negative;believe
127;1067608668596826112;neutral;believe
128;1449685651259998210;negative;deny
129;1069968236312178690;negative;believe
130;1430494475655204864;neutral;believe
131;1118596133419405313;neutral;believe
132;1461074882154881027;positive;believe
133;1449949584143257613;negative;believe
134;1468086923839389696;negative;deny
135;1490445726589009929;negative;deny
136;985551708196691968;neutral;believe
137;1069453451531247617;negative;deny
138;825396679268372480;negative;believe
139;869908150006239232;positive;believe
140;939737392964964352;positive;believe
141;826751894584455168;positive;believe
142;1029008156268154880;neutral;believe
143;1455239464125538305;positive;deny
144;1498428077134827520;negative;deny
145;1455928471130034179;neutral;believe
146;1430187117435662343;neutral;deny
147;1430575937754632193;neutral;deny
148;1422972618785832960;negative;believe
149;1441329071791607810;positive;believe
150;1472244437380214784;positive;deny
151;1437849293667377155;positive;believe
152;1460912011819171842;negative;believe
153;1068086284235755520;negative;believe
154;988616177235709952;neutral;believe
155;1437875298377224194;positive;believe
156;1471155626583674884;positive;deny
157;1067793440786825216;neutral;believe
158;951362606035423233;positive;believe
159;1456831675032211460;positive;believe
160;1442765012838268932;neutral;believe
161;1034091990064005121;negative;believe
162;906745115229564928;positive;believe
163;988005650105061377;positive;believe
164;1459977627033292802;neutral;believe
165;1438231359193903106;neutral;believe
166;987106567467171845;neutral;believe
167;1068075874073935872;negative;believe
168;955453500519010304;positive;believe
169;1494777997010010114;negative;deny
170;1461109066600697859;negative;believe
171;1035209669789327361;positive;believe
172;1471148425123090434;positive;deny
173;1441379328156004362;negative;believe
174;1035332084519395328;neutral;believe
175;1462321053275807749;negative;believe
176;1424684150972424192;neutral;believe
177;1420873026707546116;neutral;believe
178;981907022797881350;negative;believe
179;1432893747772100617;positive;believe
180;1067938253737742337;positive;believe
181;1068040416967057408;neutral;believe
182;1460284762610970626;positive;believe
183;1485977163409018881;negative;deny
184;1067439999375749120;negative;believe
185;626708873693433856;neutral;believe
186;1483330046643384322;positive;deny
187;1457729439245160451;neutral;believe
188;824410091940155392;neutral;believe
189;970024575252795392;neutral;believe
190;986686221391806465;negative;believe
191;1435424661249142796;positive;believe
192;981701291410735105;negative;believe
193;1069830500313849856;positive;believe
194;986421615440289792;negative;believe
195;1423789736032931847;negative;believe
196;1422093172629336067;negative;believe
197;1424792712998436875;negative;deny
198;1427602829619994625;negative;believe
199;1440324644838395914;neutral;believe
200;1452779134745206785;positive;believe
201;1425738174169587715;positive;believe
202;1030121278190088199;negative;believe
203;1067648338059816961;positive;believe
204;1428429906610896901;positive;believe
205;1425038722140102656;neutral;believe
206;631875328592474112;neutral;believe
207;1453032016409206784;neutral;believe
208;1119231782983835648;positive;believe
209;1441385055755161600;negative;believe
210;984030633721827329;positive;believe
211;951749382868819968;positive;believe
212;954241946624581632;positive;believe
213;981345371614924801;negative;believe
214;306074922101399552;neutral;believe
215;1439233015390035975;neutral;deny
216;1454374663753142273;positive;deny
217;1425840487827656715;positive;deny
218;774886467973840896;positive;believe
219;1457010200288825354;neutral;believe
220;1424842160692678668;negative;believe
221;1456737563385892865;positive;believe
222;1434642709902503938;positive;believe
223;954545444117344256;positive;believe
224;1453067579442929667;neutral;believe
225;1429742917074235394;negative;believe
226;1420808853088768011;negative;believe
227;781701869756358656;positive;believe
228;1427220590868504576;negative;believe
229;947027345185046528;positive;believe
230;953474716802564096;negative;believe
231;1453269358592004098;negative;believe
232;1068393565816909824;positive;believe
233;1442530815448125442;positive;deny
234;773651243147243520;neutral;believe
235;1459659327820550144;negative;believe
236;1470977161804890115;negative;deny
237;1430588888918073344;negative;believe
238;983202240528728064;negative;believe
239;954004761375858688;neutral;believe
240;1119239663699546112;negative;believe
241;1439898940133060610;negative;believe
242;988104625764098054;neutral;believe
243;1035698087640145920;positive;believe
244;1456793835753848834;neutral;believe
245;1459569553650982925;positive;believe
246;1425265844611817476;neutral;believe
247;1118599940836601856;negative;believe
248;1451453053664595971;positive;believe
249;1440935806022074368;negative;deny
250;1033630516291883008;negative;believe
251;1430689158847111169;neutral;believe
252;1438610399818027008;negative;believe
253;1068160600654716928;negative;believe
254;946641595947892736;positive;believe
255;624015114232946688;positive;believe
256;1429757171022110721;negative;believe
257;1453127252183560200;neutral;believe
258;1120054404420235265;negative;believe
259;984965023108861953;positive;believe
260;1457954874335928323;neutral;believe
261;981582835155906561;neutral;believe
262;1423231513450135554;negative;deny
263;1034427991265300481;positive;believe
264;1068596727018598403;negative;believe
265;945905573794529280;positive;believe
266;1450376875965140996;positive;believe
267;1454134708548222981;neutral;deny
268;944478723150974976;positive;believe
269;1484137025834041345;positive;deny
270;1425161542178250752;positive;believe
271;1425549938654593029;negative;believe
272;802992609245462528;positive;believe
273;1484488240124108802;negative;deny
274;1030478505375682561;negative;believe
275;1433427904411566084;positive;believe
276;1449992173743640576;negative;believe
277;910278742034989056;positive;believe
278;988022606111666176;negative;believe
279;941505468417040384;positive;believe
280;1440777458408587268;positive;deny
281;1455779161981657088;negative;deny
282;1450887951345401856;negative;believe
283;981619211733577728;positive;believe
284;1033720270505353216;negative;believe
285;1031387240805462016;neutral;believe
286;1425589513846497280;negative;believe
287;1031136408327610368;positive;believe
288;1031730150906388481;neutral;believe
289;641011174881009664;positive;believe
290;1458428092272238596;negative;believe
291;810298691449823232;negative;deny
292;1460303292278272000;neutral;deny
293;1424789190143844356;negative;believe
294;1458086488198074382;positive;believe
295;1067892908244836358;positive;believe
296;1425623068538327046;positive;believe
297;1069096960483676161;positive;believe
298;1461000390422323207;positive;believe
299;1458707107897753602;negative;deny
300;1460304976274669577;neutral;believe
301;1458535970551132162;negative;believe
302;1118902952570368000;positive;believe
303;1430631331227111427;neutral;deny
304;1434069451725426690;negative;believe
305;1440446019733385219;negative;believe
306;1069577369889968128;neutral;believe
307;1456691573719277569;negative;deny
308;987489190144167936;negative;believe
309;1030983046130888704;positive;believe
310;954010675919183883;negative;believe
311;1456416529126395911;positive;believe
312;1031146557981302784;positive;believe
313;871175309550206976;positive;believe
314;1441799859389046787;neutral;believe
315;1029949166909190144;positive;believe
316;1067844556576575489;positive;believe
317;873195820014858240;positive;believe
318;1458106029753962501;negative;deny
319;1434910522571378689;positive;believe
320;1454417125142052865;negative;believe
321;988560911597293573;positive;believe
322;989504012406874112;negative;believe
323;1440963774475907072;negative;believe
324;1434122013392744456;positive;deny
325;1456904605174931459;positive;believe
326;1455896980358529024;positive;believe
327;1454394644448612357;positive;believe
328;1455294978771456003;negative;believe
329;984628106672594944;positive;believe
330;1501628912924860421;negative;deny
331;1433910880870223874;neutral;believe
332;1454266714523275268;negative;believe
333;990415564395962368;positive;believe
334;1459799683874934784;negative;deny
335;954525532548411392;neutral;believe
336;1443091252065488907;negative;deny
337;1033056035966263296;neutral;believe
338;1118800468572917762;positive;believe
339;1456629874735656967;positive;believe
340;1069716839708557313;neutral;believe
341;954836271133790208;positive;believe
342;1455154538801991690;neutral;believe
343;1452359782107697155;negative;deny
344;1119123242986250243;positive;believe
345;1462223274390306820;negative;believe
346;1452164444566351872;negative;believe
347;1069038384239136768;negative;believe
348;1449738250524917762;positive;believe
349;1454430085977620484;negative;deny
350;1441432263808462849;positive;believe
